token,frequency
current,3
overwrought,3
obtainable,3
intend,6
stupid,2
stone,6
aggressive,1
immense,4
afraid,2
punch,4
white,5
wonder,4
terrific,4
hammer,3
quirky,4
used,3
scarecrow,4
effect,4
spoil,2
